"filename", "language", "Dotenv", "JavaScript", "MS SQL", "Markdown", "Diff", "JSON with Comments", "TypeScript", "PostCSS", "TypeScript JSX", "JSON", "XML", "Python", "comment", "blank", "total"
"e:\chat-app-test\src\components\app-tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"e:\chat-app-test\src\components\app-tabs.web.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 10, 116
"e:\chat-app-test\src\components\external-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 3, 26
"e:\chat-app-test\src\components\hint-row.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"e:\chat-app-test\src\components\themed-text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 6, 74
"e:\chat-app-test\src\components\themed-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"e:\chat-app-test\src\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 6, 66
"e:\chat-app-test\src\components\web-badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 6, 44
"e:\chat-app-test\src\constants\theme.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 8, 8, 66
"e:\chat-app-test\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 4, 16, 76
"e:\chat-app-test\src\context\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 10, 59
"e:\chat-app-test\src\global.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"e:\chat-app-test\src\hooks\use-color-scheme.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\src\hooks\use-color-scheme.web.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 6, 22
"e:\chat-app-test\src\hooks\use-theme.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 4, 15
"e:\chat-app-test\src\lib\push.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 9, 60
"e:\chat-app-test\src\lib\r2.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 8, 69
"e:\chat-app-test\src\lib\supabase.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 4, 48
"e:\chat-app-test\test-crash.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\chat-app-test\test-crash2.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\chat-app-test\test_alerts.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_chats.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_clean.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_cols.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_db.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_delete_alerts.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_fake.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_insert.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_insert2.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_insert_push.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_last_notified.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_msg.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_participants.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_push.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_r2.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\test_schema.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\chat-app-test\theme_injector.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"e:\chat-app-test\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"Total", "-", 7, 416, 24, 38, 607, 25, 225, 15, 3772, 8529, 3, 36, 76, 561, 14334
